stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,stop_area
7695,,Šlikiai,,55.84440,21.20829,https://www.stops.lt/klaipeda/index.html#stop/9946,,,3
7696,,Šlikiai,,55.84440,21.20868,https://www.stops.lt/klaipeda/index.html#stop/9945,,,3
7685,,Stančiai,,55.82010,21.17258,https://www.stops.lt/klaipeda/index.html#stop/9976,,,3
7708,,Stančiai,,55.82028,21.17396,https://www.stops.lt/klaipeda/index.html#stop/9977,,,3
7690,,Šventosios g.,,55.89532,21.23597,https://www.stops.lt/klaipeda/index.html#stop/9956,,,3
5144,,Jokūbavas,,55.82948,21.34361,https://www.stops.lt/klaipeda/index.html#stop/8885,,,3
6746,,Šašaičiai,,55.81366,21.35938,https://www.stops.lt/klaipeda/index.html#stop/8992,,,3
6747,,Šašaičiai,,55.81340,21.35948,https://www.stops.lt/klaipeda/index.html#stop/8991,,,3
4631,,Pageidavimų st.,,55.81229,21.29563,https://www.stops.lt/klaipeda/index.html#stop/8815,,,3
4632,,Pageidavimų st.,,55.81246,21.29549,https://www.stops.lt/klaipeda/index.html#stop/8816,,,3
4629,,Vytaučių st.,,55.79995,21.29188,https://www.stops.lt/klaipeda/index.html#stop/8829,,,3
4630,,Vytaučių st.,,55.80016,21.29174,https://www.stops.lt/klaipeda/index.html#stop/8830,,,3
4633,,Žvaigždžių st.,,55.81894,21.30202,https://www.stops.lt/klaipeda/index.html#stop/8833,,,3
4634,,Žvaigždžių st.,,55.81859,21.30094,https://www.stops.lt/klaipeda/index.html#stop/8834,,,3
6903,,Rasa 1,,55.83551,21.37961,https://www.stops.lt/klaipeda/index.html#stop/8999,,,3
7601,,Bruzdeilynas,,55.84842,21.11222,https://www.stops.lt/klaipeda/index.html#stop/9981,,,3
7602,,Bruzdeilynas,,55.84769,21.11208,https://www.stops.lt/klaipeda/index.html#stop/9980,,,3
7599,,Bruzdeilynas,,55.84317,21.11808,https://www.stops.lt/klaipeda/index.html#stop/9983,,,3
7600,,Bruzdeilynas,,55.84183,21.11865,https://www.stops.lt/klaipeda/index.html#stop/9982,,,3
7597,,Dargužiai,,55.82511,21.12381,https://www.stops.lt/klaipeda/index.html#stop/9985,,,3
7598,,Dargužiai,,55.82725,21.12228,https://www.stops.lt/klaipeda/index.html#stop/9984,,,3
7211,,Graudūšiai,,55.85866,21.09827,https://www.stops.lt/klaipeda/index.html#stop/9988,,,3
7212,,Graudūšiai,,55.85723,21.09953,https://www.stops.lt/klaipeda/index.html#stop/9989,,,3
7595,,Kopūstai,,55.81381,21.12781,https://www.stops.lt/klaipeda/index.html#stop/9987,,,3
7596,,Kopūstai,,55.81200,21.12764,https://www.stops.lt/klaipeda/index.html#stop/9986,,,3
7037,,Rotušė,,55.89021,21.24153,https://www.stops.lt/klaipeda/index.html#stop/9969,,,3
7038,,Tuopa,,55.89247,21.25608,https://www.stops.lt/klaipeda/index.html#stop/9968,,,3
4557,,Rasa,,55.83715,21.39111,https://www.stops.lt/klaipeda/index.html#stop/8998,,,3
7147,,M.Daujoto mokykla,,55.89564,21.24535,https://www.stops.lt/klaipeda/index.html#stop/9965,,,3
125,,Autobusų parko st.,,55.72077,21.15961,https://www.stops.lt/klaipeda/index.html#stop/0605,,,1
4411,,Autobusų parko st.,,55.72097,21.15942,https://www.stops.lt/klaipeda/index.html#stop/0605a,,,1
272,,Medienos st.,,55.72198,21.15775,https://www.stops.lt/klaipeda/index.html#stop/0606,,,1
5052,,Lūžų st.,,55.66168,21.20320,https://www.stops.lt/klaipeda/index.html#stop/7736,,,1
5053,,Lūžų st.,,55.66148,21.20164,https://www.stops.lt/klaipeda/index.html#stop/7737,,,1
32,,Budelkiemio st.,,55.66490,21.20018,https://www.stops.lt/klaipeda/index.html#stop/2403,,,1
194,,Mogiliovo st.,,55.66225,21.20160,https://www.stops.lt/klaipeda/index.html#stop/2410,,,1
3718,,Mogiliovo st.,,55.66304,21.20123,https://www.stops.lt/klaipeda/index.html#stop/2411,,,1
4623,,Baukštininkų st.,,55.75776,21.26264,https://www.stops.lt/klaipeda/index.html#stop/8801,,,2
4624,,Baukštininkų st.,,55.75710,21.26155,https://www.stops.lt/klaipeda/index.html#stop/8802,,,2
6982,,Baukštininkų st.,,55.75663,21.26380,https://www.stops.lt/klaipeda/index.html#stop/8960,,,2
6983,,Baukštininkų st.,,55.75678,21.26272,https://www.stops.lt/klaipeda/index.html#stop/8961,,,2
7052,,Gumbinės st.,,55.75599,21.27489,https://www.stops.lt/klaipeda/index.html#stop/8980,,,2
7053,,Gumbinės st.,,55.75610,21.27474,https://www.stops.lt/klaipeda/index.html#stop/8981,,,2
6990,,Didieji Leliai,,55.74453,21.25256,https://www.stops.lt/klaipeda/index.html#stop/8966,,,2
6698,,Dituvos bibliotekos st.,,55.58984,21.24409,https://www.stops.lt/klaipeda/index.html#stop/8949,,,2
6699,,Dituvos bibliotekos st.,,55.58971,21.24397,https://www.stops.lt/klaipeda/index.html#stop/8950,,,2
6827,,Ievų st.,,55.59314,21.24403,https://www.stops.lt/klaipeda/index.html#stop/8958,,,2
6828,,Ievų st.,,55.59334,21.24414,https://www.stops.lt/klaipeda/index.html#stop/8959,,,2
6691,,Nidos g.,,55.57295,21.26219,https://www.stops.lt/klaipeda/index.html#stop/8941,,,2
